ID||Area||Block||Variable||Path||NcuVariable||IsAxis||IsChannelAxis||PhysicalUnit||Version||Type||ColumnIndex||GudIdx1||GudIdx2||GudIdx3||HelpId
1||A||M||MDCA_CTRLOUT_MODULE_NR||/Axis/Drive/MDCA_CTRLOUT_MODULE_NR|| ||0||0||NO_UNIT||36||char||30110||0||0||0||2727
2||A||M||MDCA_CTRLOUT_TYPE||/Axis/Drive/MDCA_CTRLOUT_TYPE|| ||0||0||NO_UNIT||36||char||30130||0||0||0||2728
3||A||M||MDCA_ENC_MODULE_NR||/Axis/Drive/MDCA_ENC_MODULE_NR|| ||0||0||NO_UNIT||36||char||30220||0||0||0||2729
4||A||M||MDCA_ENC_TYPE||/Axis/Drive/MDCA_ENC_TYPE|| ||0||0||NO_UNIT||36||char||30240||0||0||0||2730
5||A||SE||AA_OFF_LIMIT||/Axis/Settings/AA_OFF_LIMIT||$SA_AA_OFF_LIMIT||1||0||NO_UNIT||0||double||43350||0||0||0||2201
6||A||SE||MDB_WORKAREA_MINUS_ENABLE||/Axis/Settings/MDB_WORKAREA_MINUS_ENABLE||$SA_MDB_WORKAREA_MINUS_ENABLE||1||0||NO_UNIT||36||char||43410||0||0||0||2739
7||A||SE||MDB_WORKAREA_PLUS_ENABLE||/Axis/Settings/MDB_WORKAREA_PLUS_ENABLE||$SA_MDB_WORKAREA_PLUS_ENABLE||1||0||NO_UNIT||36||char||43400||0||0||0||2740
8||A||SE||MDD_SPIND_MAX_VELO_G26||/Axis/Settings/MDD_SPIND_MAX_VELO_G26||$SA_MDD_SPIND_MAX_VELO_G26||1||0||UNIT_VELO_ROT||36||double||43220||0||0||0||2735
9||A||SE||MDD_SPIND_MAX_VELO_LIMS||/Axis/Settings/MDD_SPIND_MAX_VELO_LIMS||$SA_MDD_SPIND_MAX_VELO_LIMS||1||0||UNIT_VELO_ROT||36||double||43230||0||0||0||2736
10||A||SE||MDD_SPIND_MIN_VELO_G25||/Axis/Settings/MDD_SPIND_MIN_VELO_G25||$SA_MDD_SPIND_MIN_VELO_G25||1||0||UNIT_VELO_ROT||36||double||43210||0||0||0||2734
11||A||SE||MDD_WORKAREA_LIMIT_MINUS||/Axis/Settings/MDD_WORKAREA_LIMIT_MINUS||$SA_MDD_WORKAREA_LIMIT_MINUS||1||0||UNIT_POSN_LIN||36||double||43430||0||0||0||2895
12||A||SE||MDD_WORKAREA_LIMIT_PLUS||/Axis/Settings/MDD_WORKAREA_LIMIT_PLUS||$SA_MDD_WORKAREA_LIMIT_PLUS||1||0||UNIT_POSN_LIN||36||double||43420||0||0||0||2896
13||B||S||autoJogState||/Bag/State/autoJogState||$AC_AUTO_JOG_STATE||0||0||NO_UNIT||590000||uint_16||4||0||0||0||4745
14||B||S||ncAutoCounter||/Bag/State/ncAutoCounter|| ||0||0||NO_UNIT||620000||uint_16||5||0||0||0||3849
15||B||S||ncJogCounter||/Bag/State/ncJogCounter|| ||0||0||NO_UNIT||620000||uint_16||6||0||0||0||3850
16||B||S||ncMDACounter||/Bag/State/ncMDACounter|| ||0||0||NO_UNIT||620000||uint_16||7||0||0||0||3851
17||B||S||opMode||/Bag/State/opMode|| ||0||0||NO_UNIT||36||uint_16||3||0||0||0||360
18||B||S||readyActive||/Bag/State/readyActive|| ||0||0||NO_UNIT||36||uint_16||2||0||0||0||390
19||B||S||resetActive||/Bag/State/resetActive|| ||0||0||NO_UNIT||36||uint_16||1||0||0||0||395
20||C||AUXFU||acAuxfuMTick||/Channel/AuxiliaryFunctions/acAuxfuMTick||$AC_AUXFU_M_TICK||0||0||NO_UNIT||740000||integer||6||0||0||0||5100
21||C||AUXFU||acAuxfuPredefIndex||/Channel/AuxiliaryFunctions/acAuxfuPredefIndex||$AC_AUXFU_PREDEF_INDEX||0||0||NO_UNIT||740000||integer||7||0||0||0||5101
22||C||AUXFU||acAuxfuSpec||/Channel/AuxiliaryFunctions/acAuxfuSpec||$AC_AUXFU_SPEC||0||0||NO_UNIT||740000||integer||8||0||0||0||5102
23||C||AUXFU||acAuxfuTickHifu||/Channel/AuxiliaryFunctions/acAuxfuTickHifu||$AC_AUXFU_TICK||0||0||NO_UNIT||740000||integer||11||0||0||0||5103
24||C||AUXFU||acAuxfuTickPack||/Channel/AuxiliaryFunctions/acAuxfuTickPack||$AC_AUXFU_TICK||0||0||NO_UNIT||740000||integer||10||0||0||0||5104
25||C||AUXFU||acAuxfuTickSeq||/Channel/AuxiliaryFunctions/acAuxfuTickSeq||$AC_AUXFU_TICK||0||0||NO_UNIT||740000||integer||9||0||0||0||5105
26||C||AUXFU||extension||/Channel/AuxiliaryFunctions/extension||$AC_AUXFU_EXT||0||0||NO_UNIT||570000||uint_16||2||0||0||0||3804
27||C||AUXFU||status||/Channel/AuxiliaryFunctions/status|| ||0||0||NO_UNIT||570000||uint_16||5||0||0||0||3805
28||C||AUXFU||type||/Channel/AuxiliaryFunctions/type||$AC_AUXFU_TYPE||0||0||NO_UNIT||570000||string||1||0||0||0||3806
29||C||AUXFU||valueDo||/Channel/AuxiliaryFunctions/valueDo||$AC_AUXFU_VALUE||0||0||NO_UNIT||570000||double||3||0||0||0||3807
30||C||AUXFU||valueLo||/Channel/AuxiliaryFunctions/valueLo||$AC_AUXFU_M_VALUE||0||0||NO_UNIT||570000||integer||4||0||0||0||3808
31||C||CP||aaCpActFa||/Channel/GenericCoupling/aaCpActFa||$AA_CPACTFA||1||1||NO_UNIT||650000||uint_16||6||0||0||0||4850
