VariableID||Description
1||Sollwertzuordnung
2||Ausgabeart des Sollwerts
3||Istwertzuordnung
4||Art der Istwerterfassung
5||Korrekturwert-Obergr. $AA_OFF bei Abstandsregelung
6||Arbeitsfeldbegrenzung in negativer Richtung aktiv
7||Arbeitsfeldbegrenzung in positiver Richtung aktiv
8||Maximale Spindeldrehzahl bei G26
9||Spindeldrehzahlbegrenzung
10||Minimale Spindeldrehzahl bei G25
11||Arbeitsfeldbegrenzung negative Richtung
12||Arbeitsfeldbegrenzung positive Richtung
13||Status der BA Automatik+Jog
14||Zähler für Auto-Taste
15||Zähler für Jog-Taste
16||Zähler für MDA-Taste
17||Aktive Betriebsart
18||BAG betriebsbereit
19||alle Kanäle der BAG im Reset
20||Zeitstempel der aktiven M-Hilfsfunktion
21||Predef-Index der aktiven Hilfsfunktion
22||Ausgabespezifikation der aktiven Hilfsfunktion
23||Hilfsfunktionszähler der aktiven Hilfsfunktion
24||Paketzähler der aktiven Hilfsfunktion
25||Sequenzzähler der aktiven Hilfsfunktion
26||Erweiterung der Hilfsfunktion
27||Status der Hilfsfunktion
28||Art der Hilfsfunktion
29||Double-Wert der Hilfsfunktion
30||Long-Wert der Hilfsfunktion
31||Aktive Folgeachse zur Leitachse
32||Aktive Leitachse zur Folgeachse
33||Satzwechselkriterium für die Folgeachse
34||Definierte Leitachse der Folgeachse
35||Anteil der Achsbeschleunigung aller Kopplungen
36||Arten aktiver Kopplung
37||Summe aller Positionsbefehle aller Leitachsen
38||Summe aller Geschwindigkeitsbef. aller Leitachsen
39||Kopplungsausschaltmodus
40||Kopplungseinschaltmodus
41||Folgeachsmodus Ein-Strategie
42||Erforderliche Kopplungsgeschwindigkeit
43||Bezugssystem für die Folgeachse
44||Beschleunigungsanteil der Leitachse
45||Positionsbefehl der angegebenen Kopplung
46||Geschwindigkeitsbefehl der angegebenen Kopplung
47||Die ID der aktiven Kurventabelle
48||Nenner des Koppelfaktors
49||Eingabeskalierfaktor des Koppelfaktors
50||Eingabeübersetzungskorrektur des Koppelfaktors
51||Zähler des Koppelfaktors
52||Ausgabeskalierfaktor des Koppelfaktors
53||Ausgabeübersetzungskorrektur des Koppelfaktors
54||Bezugssystem für die angegebene Kopplung
55||Typ des festgelegten Werts für die Kopplung
56||Der Status der Kopplung
57||Art der Kopplung
58||Verhalten des Koppelmoduls bzgl. Alarmhandling
59||Koppelmodus durch RESET
60||Koppelmodus durch Programmstart
61||Koppelmodus durch SERUPRO-Start
62||Verhalten des Koppelmoduls bzgl. VDI-Signale
63||Anzahl aktiver Folgeachsen
64||Anzahl der aktiven Leitachsen
65||Anzahl definierter Leitachsen
66||Kopplung eingestellt Kopplungsart
67||Synchronisierung grobe Positionstoleranz
68||Schwellwert Zweite Synchronlaufüberwachung Grob
69||Synchronisierung grobe Geschwindigkeitstoleranz
70||Synchronisierung feine Positionstoleranz
71||Schwellwert Zweite Synchronlaufüberwachung Fein
72||Synchronisierung feine Geschwindigkeitstoleranz
73||Füllstand des IPO-Puffers
