VariableID||Description
1||Affectation de consigne
2||Type de sortie de la consigne
3||Affectation valeur réelle
4||Type d'acquisition de valeur réelle
5||Lim. sup. val. de corr. $AA_OFF pour régul. dist.
6||Limitat. zone de travail activée dans sens négatif
7||Limitat. zone de travail activée dans sens positif
8||Vitesse de broche maximale avec G26
9||Limitation de vitesse de broche
10||Vitesse de broche minimale avec G25
11||Limitation de la zone de travail sens négatif
12||Limitation de la zone de travail sens positif
13||État du MF Automatique+JOG
14||Compteur pour la touche Auto
15||Compteur pour la touche JOG
16||Compteur pour la touche MDA
17||Mode de fonctionnement actif
18||GMFC prêt à fonctionner
19||Tous les canaux du GMFC en Reset
20||Horodatage de la fonction auxiliaire M active
21||Indice prédéfini de la fonction auxiliaire active
22||Spécification de sortie de la fonction aux. active
23||Compteur de fonctions aux. de la fonc. aux. active
24||Compteur de paquets de la fonction aux. active
25||Compteur de séquences de la fonction aux. active
26||Extension de la fonction auxiliaire
27||État de la fonction auxiliaire
28||Type de fonction auxiliaire
29||Valeur Double de la fonction auxiliaire
30||Valeur Long de la fonction auxiliaire
31||Axe asservi actif par rapport à l'axe pilote
32||Axe pilote actif par rapport à l'axe asservi
33||Critère de changement de bloc pour l'axe asservi
34||Axe pilote défini de l'axe asservi
35||Composante accél. d'axe de tous les couplages
36||Types du couplage actif
37||Somme des instruc. de pos. de ts les axes pilotes
38||Somme des instruc. de vit. de ts les axes pilotes
39||Mode de désactivation du couplage
40||Mode d'activation du couplage
41||Mode axe asservi Stratégie marche
42||Vitesse de couplage requise
43||Système de référence pour l'axe asservi
44||Part d'accélération de l'axe pilote
45||Instruction de position du couplage indiqué
46||Instruction de vitesse du couplage indiqué
47||L'identifiant de la table de courbes active
48||Dénominateur du facteur de couplage
49||Facteur d'échelle de saisie du facteur de couplage
50||Correct. de transm. d'entrée du fact. de couplage
51||Numérateur du facteur de couplage
52||Facteur d'échelle de sortie du facteur de couplage
53||Correct. de transm. de sortie du fact. de couplage
54||Système de référence pour le couplage indiqué
55||Type de la valeur définie pour le couplage
56||L'état du couplage
57||Type de couplage
58||Comportement module coupl. pour traitement alarmes
59||Mode de couplage par RESET
60||Mode de couplage par démarrage du programme
