VariableID||Description
1||Assegnazione valore di riferimento
2||Tipo di emissione del valore di riferimento
3||Assegnazione valore reale
4||Tipo di rilevamento del valore reale
5||Lim.super.val.di correz.$AA_OFF per regolaz.dist.
6||Limitaz.campo di lavoro attiva in direz.negativa
7||Limitaz.campo di lavoro attiva in direz.positiva
8||Numero max.di giri mandrino con G26
9||Limitazione del numero di giri del mandrino
10||Numero min.di giri mandrino con G25
11||Limitazione campo di lavoro in direzione negativa
12||Limitazione campo di lavoro in direzione positiva
13||Stato del modo di funzionamento Automatico+Jog
14||Contatore per tasto Auto
15||Contatore per tasto Jog
16||Contatore per tasto MDA
17||Modo di funzionamento attivo
18||BAG pronto al funzionamento
19||tutti i canali del BAG in stato di Reset
20||Timbratura oraria della funzione M attiva
21||Indice predefin. della funzione ausiliaria attiva
22||Spec.di emissione della funzione ausiliaria attiva
23||Contatore funz. ausil.della funzione ausil. attiva
24||Contatore pacchetti funzione ausiliaria attiva
25||Contatore sequenze funzione ausiliaria attiva
26||Ampliamento della funzione ausiliaria
27||Stato della funzione ausiliaria
28||Tipo di funzione ausiliaria
29||Valore Double della funzione ausiliaria
30||Valore Long della funzione ausiliaria
31||Asse slave attivo risp. all'asse master
32||Asse master attivo risp. all'asse slave
33||Criterio di cambio blocco per l'asse slave
34||Asse master definito dell'asse slave
35||Compon.acceleraz.asse di tutti gli accoppiamenti
36||Tipi di accoppiamento attivo
37||Somm.di tutte istruz.di posiz.di tutti assi master
38||Somm.di tutte istruz.di veloc.di tutti assi master
39||Modalità di disattivazione accoppiamento
40||Modalità di attivazione accoppiamento
41||Strategia di attivazione modalità asse slave
42||Velocità di accoppiamento necessaria
43||Sistema di riferimento per l'asse slave
44||Componente di accelerazione dell'asse master
45||Istruzione di posizione dell'accoppiam.specificato
46||Istruzione di velocità dell'accoppiam.specificato
47||Il numero ID della tabella di curve attiva
48||Denominatore del fattore di accoppiamento
49||Fattore di scala di ingresso del fattore di accop.
50||Correz.rapporto trasmiss.ingresso fattore accopp.
51||Numeratore del fattore di accoppiamento
52||Fattore di scala di uscita del fattore di accopp.
53||Correz.rapporto trasmiss.uscita fattore accoppiam.
54||Sistema di riferimento per l'accoppiam.specificato
55||Tipo del valore specificato per l'accoppiamento
56||Lo stato dell'accoppiamento
57||Tipo di accoppiamento
58||Comport.modulo di accopp.riferito a gest. allarmi
59||Modalità di accoppiamento tramite RESET
60||Modalità di accoppiamento tramite Start programma
61||Modalità di accoppiamento tramite Start SERUPRO
62||Comport.modulo di accopp. riferito ai segnali VDI
63||Numero di assi slave attivi
64||Numero di assi master attivi
65||Numero di assi master definiti
66||Accoppiamento del tipo di accoppiamento impostato
67||Sincronizzaz. tolleranza di posizione grossolana
68||Valore di soglia seconda sorvegl.sincron.grossol.
69||Sincronizzazione tolleranza di velocità grossolana
70||Sincronizzazione tolleranza di posizione fine
71||Valore di soglia seconda sorvegl.sincronizzaz.fine
72||Sincronizzazione tolleranza di velocità fine
73||Livello di riempimento del buffer IPO
74||tempo di esecuzione lordo attuale
75||tempo di esecuzione netto attuale
76||tempo di esecuzione netto medio
77||Tempo di contatto dell'utensile ( in secondi )
78||Tempo di esecuzione del programma NC selezionato
79||Livello riempimen.buffer IPO (numero intero in %)
80||tempo max. di esecuzione lordo
81||tempo max. di esecuzione lordo
82||tempo max. di esecuzione netto
83||tempo max. di esecuzione netto 
84||tempo min. di esecuzione lordo
85||tempo min. di esecuzione lordo 
86||tempo min. di esecuzione netto
87||tempo min. di esecuzione netto 
88||Tempo totale di esecuzione dei programmi NC
89||Somma dei tempi netti di esecuzione
90||Task presente
91||Nome del task
92||Formato dati del protocollo
93||Numero di volte che si è verificato l'evento
94||Numero di volte che si è verificato l'evento.
95||Indice della lista dati
96||Byte scritti nel file FIFO
97||Byte letti nel file FIFO
98||Stato dell'evento
99||Stato
100||Tipo di intestazione nel set di dati
101||Livello di riempim. max. raggiunto del buffer FIFO
102||lunghezza max. del file di protocollo
103||lunghezza max.raggiunta dal file di protocollo
104||Numero di byte file di protocollo troppo basso
105||Numero di registrazioni buffer FIFO troppo basso
106||Nome del file di protocollo
107||Valore generico del risultato
108||Numero di eventi da saltare
109||Blocco elaborazione del trigger di avvio
110||Blocco elaborazione del trigger di arresto
111||$$traceProtocolLock non è attivo
112||Base dei tempi
113||Traslazione del frame attivo
114||Traslazione fine di un frame attivo
115||Specularità di un frame attivo
116||Rotazione di un frame attivo
117||Rotazione di coordinate del frame attivo
118||Fattore di scala del frame attivo
119||Traslazione di un frame impostabile
120||Traslazione fine di frame
121||Specularità di un frame impostabile
122||Rotazione di un frame impostabile
123||Rotazione delle coordinate di un frame impostabile
124||Fattore di scala di un frame impostabile
125||Traslazione del frame esterno
126||Traslazione fine del frame esterno
127||Specularità di un frame esterno
128||Rotazione di un frame esterno
129||Rotazione coordinate spostamento origine esterno
130||Fattore di scala di un frame esterno
131||Traslazione frame Grinding
132||Traslazione fine di frame
133||Specularità frame Grinding
134||Rotazione frame Grinding
135||Rotazione coordinate del frame Grinding
136||Fattore di scala del frame Grinding
137||Traslazione
138||Traslazione fine di un frame di sistema
139||Specularità di un frame di sistema
140||Rotazioni di un frame di sistema
141||Rotazione di coordinate di un frame di sistema
142||Fattore di scala di un frame di sistema
143||Traslazione di un frame impostabile
144||Traslazione fine di frame
145||Specularità di un frame impostabile
146||Rotazione di un frame impostabile
147||Rotazione delle coordinate di un frame impostabile
148||Fattore di scala di un frame impostabile
149||MD 20080: $MC_AXCONF_CHANAX_NAME_TAB
150||Posizione di collisione in coordinate universali
151||Collisione tra due settori di protezione
152||Dichiarazione settore di protezione variabile
153||Parametro real di un settore di protezione
154||Parametro string di un settore di protezione
155||Stato di errore dopo richiamo procedura FIXTURE
156||Ascissa centro del cerchio 1º elemento del profilo
157||Ascissa centro del cerchio 2º elemento del profilo
158||Ascissa centro del cerchio 3º elemento del profilo
159||Ascissa centro del cerchio 4º elemento del profilo
160||Ascissa centro del cerchio 5º elemento del profilo
161||Ascissa centro del cerchio 6º elemento del profilo
162||Ascissa centro del cerchio 7º elemento del profilo
163||Ascissa centro del cerchio 8º elemento del profilo
164||Ascissa centro del cerchio 9º elemento del profilo
165||Ascissa centro del cerchio 10ºelemento del profilo
166||Ordinata centro cerchio 1º elemento del profilo
167||Ordinata centro cerchio 2º elemento del profilo
168||Ordinata centro cerchio 3º elemento del profilo
169||Ordinata centro cerchio 4º elemento del profilo
170||Ordinata centro cerchio 5º elemento del profilo
171||Ordinata centro cerchio 6º elemento del profilo
172||Ordinata centro cerchio 7º elemento del profilo
173||Ordinata centro cerchio 8º elemento del profilo
174||Ordinata centro cerchio 9º elemento del profilo
175||Ordinata centro cerchio 10º elemento del profilo
176||Punto finale ascissa del 1º elemento del profilo
177||Punto finale ascissa del 2º elemento del profilo
178||Punto finale ascissa del 3º elemento del profilo
179||Punto finale ascissa del 4º elemento del profilo
180||Punto finale ascissa del 5º elemento del profilo
181||Punto finale ascissa del 6º elemento del profilo
182||Punto finale ascissa del 7º elemento del profilo
183||Punto finale ascissa del 8º elemento del profilo
184||Punto finale ascissa del 9º elemento del profilo
185||Punto finale ascissa del 10º elemento del profilo
186||Punto finale ordinata 1º elemento del profilo
187||Punto finale ordinata 2º elemento del profilo
188||Punto finale ordinata 3º elemento del profilo
189||Punto finale ordinata 4º elemento del profilo
190||Punto finale ordinata 5º elemento del profilo
191||Punto finale ordinata 6º elemento del profilo
192||Punto finale ordinata 7º elemento del profilo
193||Punto finale ordinata 8º elemento del profilo
194||Punto finale ordinata 9º elemento del profilo
195||Punto finale ordinata 10º elemento del profilo
196||Limite inferiore settore di protezione, applicata
197||Limite superiore settore di protezione, applicata
198||subito attivo dopo la ricerca del p.to di riferim.
199||Numero degli elementi del profilo validi
200||Tipo di profilo del 1º elemento del profilo
201||Tipo di profilo del 2º elemento del profilo
202||Tipo di profilo del 3º elemento del profilo
203||Tipo di profilo del 4º elemento del profilo
204||Tipo di profilo del 5º elemento del profilo
205||Tipo di profilo del 6º elemento del profilo
206||Tipo di profilo del 7º elemento del profilo
207||Tipo di profilo del 8º elemento del profilo
208||Tipo di profilo del 9º elemento del profilo
209||Tipo di profilo del 10º elemento del profilo
210||Limitazione del settore di protezione, applicata
211||Assegnazione del piano del settore di protezione
212||Settore di protezione riferito al pezzo o all'UT
213||Stato errore dopo richiamo procedura WORKPIECE
214||Parametro R 
215||Correzione assiale dell'accelerazione (ACC)
216||Correz.assiale acceleraz.nell'elaboraz.princip.
217||Tolleranza asse attiva
218||Cambio elettronico, accoppiamento attivo
