VariableID||Description
1||Asignación de consigna
2||Clase de salida de la consigna
3||Asignación de valor real
4||Tipo de captación de valor real
5||Lím. sup. valor correc. $AA_OFF con reg. distancia
6||Limit. campo de trabajo activa en dirección neg.
7||Limit. campo de trabajo activa en dirección pos.
8||Máxima velocidad del cabezal con G26
9||Límite de velocidad del cabezal
10||Mínima velocidad del cabezal con G25
11||Limitación del campo de trabajo sentido negativo
12||Limitación del campo de trabajo sentido positivo
13||Estado del modo de operación automático + JOG
14||Contador para tecla Auto
15||Contador para tecla JOG
16||Contador para tecla MDA
17||Modo de operación activo
18||GMO operativo
19||Todos los canales del GMO están en reset
20||Etiqueta fecha/hora para función auxiliar M activa
21||Índice predefinido de la función auxiliar activa
22||Especificación de salida de función aux. activa
23||Contador de funciones aux. de función aux. activa
24||Contador de paquetes de la función auxiliar activa
25||Contador de secuencias de función auxiliar activa
26||Ampliación de la función auxiliar
27||Estado de la función auxiliar
28||Tipo de función auxiliar
29||Valor DOUBLE de la función auxiliar
30||Valor LONG de la función auxiliar
31||Eje esclavo activo para el eje maestro
32||Eje maestro activo para el eje esclavo
33||Criterio de cambio de secuencia para eje esclavo
34||Eje maestro definido del eje esclavo
35||Componente aceler. eje de todos los acoplamientos
36||Tipos de acoplamiento activo
37||Total de comandos de posición de los ejes maestros
38||Total comandos de velocidad de los ejes maestros
39||Modo desconexión acoplamiento
40||Modo conexión acoplamiento
41||Modo de eje esclavo, estrategia CON
42||Velocidad necesaria del acoplamiento
43||Sistema de referencia para el eje esclavo
44||Componente de la aceleración del eje maestro
45||Comando de posición del acoplamiento especificado
46||Comando de velocidad del acoplamiento especificado
47||ID de la tabla de levas activa
48||Denominador del factor de acoplamiento
49||Factor de escala de entrada factor de acoplamiento
50||Correc. relac. transmisión entrada factor acopl.
51||Numerador del factor de acoplamiento
52||Factor escala de salida del factor de acoplamiento
53||Correc. relac. transmisión salida factor acopl.
54||Sistema de ref. para acoplamiento especificado
55||Tipo del valor definido para el acoplamiento
56||Estado del acoplamiento
57||Tipo de acoplamiento
58||Comportamiento mód. acopl. para gestión de alarmas
59||Modo de acoplamiento por medio de RESET
60||Modo de acoplamiento por inicio de programa
61||Modo de acoplamiento por inicio de SERUPRO
62||Comportamiento mód. acopl. respecto a señales VDI
63||Número de ejes esclavos activos
64||Número de ejes maestros activos
65||Número de ejes maestros definidos
66||Acoplamiento, tipo de acoplamiento ajustado
67||Sincronización, tolerancia aproximada de posición
68||Valor umbral, 2ª vigilancia de sincronismo, aprox.
69||Sincronización, tolerancia aproximada de velocidad
70||Sincronización, tolerancia fina de posición
71||Valor umbral, 2ª vigilancia de sincronismo, fino
72||Sincronización, tolerancia fina de velocidad
73||Nivel de llenado del búfer de IPO
74||Tiempo de ejecución bruto actual
75||Tiempo de ejecución neto actual
76||Tiempo de ejecución neto promediado
77||Tiempo de intervención de herramienta (en s)
78||Tiempo de ejecución del programa CN seleccionado
79||Nivel de llenado búfer de IPO (valor entero en %)
80||Máximo tiempo de ejecución bruto
81||Máximo tiempo de ejecución bruto 
82||Máximo tiempo de ejecución neto
83||Máximo tiempo de ejecución neto 
84||Mínimo tiempo de ejecución bruto
85||Mínimo tiempo de ejecución bruto 
86||Mínimo tiempo de ejecución neto
87||Mínimo tiempo de ejecución neto 
88||Tiempo de ejecución total programas CN
89||Suma de los tiempos de ejecución netos
90||La orden está presente.
91||Nombre de la orden
92||Formato de datos del registro
93||Número (16 bits) de apariciones del evento
94||Número (32 bits) de apariciones del evento.
95||Índice de la lista de datos
96||Bytes escritos en el fichero Fifo
97||Bytes leídos en el fichero Fifo
98||Estado del evento
99||Estado
100||Tipo de header en el juego de datos
101||Máx. nivel de llenado alcanzado del búfer Fifo
102||Máx. longitud del fichero de registro
103||Máx. longitud alcanzada del fichero de registro
104||Número bytes fichero registro bajo mínimo
105||Número entradas búfer Fifo bajo mínimo
106||Nombre fichero registro
107||Valor genérico de resultado
108||Número eventos que omitir
109||Bloqueo de procesamiento del disparador de inicio
110||Bloqueo de procesamiento del disparador de parada
111||$$traceProtocolLock no actúa.
112||Base de tiempo
113||Traslación de un frame activo
114||Decalaje fino de un frame activo
115||Simetría frame activo
116||Giro frame activo
117||Giro coordenadas frame activo
118||Factor escala frame activo
119||Relación transmisión frame ajustable
120||Decalaje fino para frames
121||Simetría frame ajustable
122||Giro frame ajustable
123||Giro coordenadas frame ajustable
124||Factor escala frame ajustable
125||Relación transmisión frame externo
126||Decalaje fino del frame externo
127||Simetría frame externo
128||Giro frame externo
129||Giro coordenadas decalaje origen externo
130||Factor escala frame externo
131||Traslación Grinding Frame
132||Decalaje fino para frames
133||Simetría Grinding Frame
134||Giro Grinding Frame
135||Giro coordenadas Grinding Frame
136||Factor escala Grinding Frame
137||Relación de transmisión
138||Decalaje fino de un frame de sistema
139||Mirror de un frame de sistema
140||Giros de un frame de sistema
141||Giro de coordenadas de un frame de sistema
142||Factor de escala de un frame de sistema
143||Relación transmisión frame ajustable
144||Decalaje fino para frames
145||Simetría frame ajustable
146||Giro frame ajustable
147||Giro coordenadas frame ajustable
148||Factor escala frame ajustable
149||MD 20080: $MC_AXCONF_CHANAX_NAME_TAB
150||Posición de colisión en coordenadas universales
151||Colisión entre dos zonas protegidas
152||Declaración de una zona protegida variable
153||Parámetro REAL de una zona protegida
154||Parámetro STRING de una zona protegida
155||Estado de error tras llamada de procedim. FIXTURE
156||Abscisas centro círculo 1er elemento de contorno
157||Abscisas centro círculo 2º elemento de contorno
158||Abscisas centro círculo 3er elemento de contorno
159||Abscisas centro círculo 4º elemento de contorno
160||Abscisas centro círculo 5º elemento de contorno
161||Abscisas centro círculo 6º elemento de contorno
162||Abscisas centro círculo 7º elemento de contorno
163||Abscisas centro círculo 8º elemento de contorno
164||Abscisas centro círculo 9º elemento de contorno
165||Abscisas centro círculo 10º elemento de contorno
166||Ordenadas centro círculo 1er elemento de contorno
167||Ordenadas centro círculo 2º elemento de contorno
168||Ordenadas centro círculo 3er elemento de contorno
169||Ordenadas centro círculo 4º elemento de contorno
170||Ordenadas centro círculo 5º elemento de contorno
171||Ordenadas centro círculo 6º elemento de contorno
172||Ordenadas centro círculo 7º elemento de contorno
173||Ordenadas centro círculo 8º elemento de contorno
174||Ordenadas centro círculo 9º elemento de contorno
175||Ordenadas centro círculo 10º elemento de contorno
176||Abscisas punto final 1er elemento de contorno
177||Abscisas punto final 2º elemento de contorno
178||Abscisas punto final 3er elemento de contorno
179||Abscisas punto final 4º elemento de contorno
180||Abscisas punto final 5º elemento de contorno
181||Abscisas punto final 6º elemento de contorno
182||Abscisas punto final 7º elemento de contorno
183||Abscisas punto final 8º elemento de contorno
184||Abscisas punto final 9º elemento de contorno
185||Abscisas punto final 10º elemento de contorno
186||Ordenadas punto final 1er elemento de contorno
187||Ordenadas punto final 2º elemento de contorno
188||Ordenadas punto final 3er elemento de contorno
189||Ordenadas punto final 4º elemento de contorno
190||Ordenadas punto final 5º elemento de contorno
191||Ordenadas punto final 6º elemento de contorno
192||Ordenadas punto final 7º elemento de contorno
193||Ordenadas punto final 8º elemento de contorno
194||Ordenadas punto final 9º elemento de contorno
195||Ordenadas punto final 10º elemento de contorno
196||Límite inferior de la zona protegida, aplicadas
197||Límite superior de la zona protegida, aplicadas
198||Activa inmediatamente tras referenciado
199||Número de elementos de contorno válidos
200||Tipo de contorno del 1er elemento de contorno
201||Tipo de contorno del 2º elemento de contorno
202||Tipo de contorno del 3er elemento de contorno
203||Tipo de contorno del 4º elemento de contorno
204||Tipo de contorno del 5º elemento de contorno
205||Tipo de contorno del 6º elemento de contorno
206||Tipo de contorno del 7º elemento de contorno
207||Tipo de contorno del 8º elemento de contorno
208||Tipo de contorno del 9º elemento de contorno
209||Tipo de contorno del 10º elemento de contorno
210||Limitación de la zona protegida, aplicadas
211||Asignación de plano de la zona protegida
212||Zona protegida referida a pieza o a herramienta
213||Estado de error tras llamada de proced. WORKPIECE
214||Parámetro R 
215||Corrección de aceleración por eje (ACC)
216||Corr. acel. eje proceso ppal.
217||Tolerancia de eje activa
218||RE acopl. activo
219||RE nº eje maestro
220||RE denom. factor acopl.
221||RE contador factor acopl.
222||RE nº ejes maestros
223||RE pos. síncrona eje maestro
224||RE pos. síncrona eje esclavo
225||RE tipo acopl.
226||Factor activo para trayectoria de eje giratorio
227||Influencia de un eje en velocidad de trayectoria
228||Corrección de tirón por eje (JERKLIM)
229||Corr. tirón eje avance
230||Almacenamiento punto medida eje 1
231||Almacenamiento punto medida eje 2
232||Almacenamiento punto medida eje 3
233||Almacenamiento punto medida eje 4
234||1er punto medida
235||2º punto medida
236||3er punto medida
237||4º punto medida
238||Consigna ángulo medida
239||Consigna posición medida
240||Almacenamiento consigna eje
241||Diferencia de sincronismo consigna
242||Estado diferencia de sincronismo consigna
243||Corrección de velocidad por eje (VELOLIM)
244||Corr. velocidad eje proceso ppal.
245||Tipo de limitación de avance de contorneado
246||Avance de trayectoria por ajuste de rendimiento
247||Tolerancia ángulo final actual en interpol. polar
248||Asignación componentes longitud p. herram. activa
249||Asignación componentes longitud herr. activa (SSL)
250||Estado alarma ESR
251||Motivo de la activación de un ASUP
252||Estado contenedor ejes
253||Corrección de la prevención de colisiones externa
254||Ángulo en cono
255||Tolerancia contorno activa
256||Valor tolerancia G00 activo contorno
257||Trayecto residual enclavado sistema coord. pieza
258||Distancia inicio sec. sistema coord. básico
259||Distancia inicio sec. sistema coord. pieza
260||Distancia fin sec. sistema coord. básico
261||Distancia fin sec. sistema coord. pieza
262||Disparo ESR
263||Coeficiente a0 polinomio n para acción síncrona
264||Coeficiente a1 polinomio n para acción síncrona
265||Coeficiente a2 polinomio n para acción síncrona
266||Coeficiente a3 polinomio n para acción síncrona
267||Valor límite inf. polinomio n para acción síncrona
268||Valor límite sup. polinomio n para acción síncrona
269||Máx. velocidad en rápido en la secuencia
270||Clave de los ejes de velocidad de trayectoria
271||Avance por diente, consigna
272||Leer entrada de rectificado (PLC -> NCK)
273||Activar entrada de rectificado
274||¿Entrada de rectificado activa?
275||Leer entrada de rectificado (PLC -> NCK)
276||Leer entrada de rectificado (NCK -> PLC)
277||Identificación estado funciones activas
278||Muestra si el canal actual es de manipulación.
279||Posición actual de la máquina
280||Posición actual de los ejes de canal
281||Se ha seleccionado JOG en círculos
282||Sistema coordenadas desplazamiento manual
283||Información sobre retirada rápida
284||El palpador ha conmutado.
285||Ajuste de plano
286||Máscara de frame base de canal
287||Máscara bits frame sistema
288||Ángulo corte esquina
289||Consigna de ángulo de corte
290||Diámetro
291||Sentido aproximac.
292||Número de filo
293||Decalaje fino
294||Selección de frame
295||Datos para medición
296||Almacenamiento punto medida
297||Máscara global de frame base
298||Comportamiento de transformada interfaz de medida
299||Sistema de coordenadas del 1er punto de medida
300||Sistema de coordenadas del 2º punto de medida
301||Sistema de coordenadas del 3er punto de medida
302||Sistema de coordenadas del 4º punto de medida
303||Frame programable
304||Result. med.
305||Unidad
306||Semáforo de medición de pieza
307||Sistema de coordenadas del punto de consigna
308||Nº de herram.
309||Longitud herramienta
310||Ajuste de herramienta
311||Tipo de medición
312||Frame de gestión de datos ajustable
313||Bits de validez
314||Ángulo de posición de pieza
315||Consigna de ángulo de posición de pieza
316||Valor real vigilancia herram. frente a consigna
317||Número del cabezal maestro
318||Número del portaherramientas maestro actual
319||Asig. componentes longitud herram. p.herr. fresado
320||Asignación comp. longitud herr. fresado (SSL)
321||Tolerancia de orientación activa
322||Valor de tolerancia G00 activo de la orientación
323||Corrección contorneado para acciones síncronas
324||Aceleración trayectoria para eventos tiempo real
325||Trayectoria en tirones para eventos en tiempo real
326||Parámetro de trayectoria normalizado
327||Corrección por PLC para acciones síncronas
328||Trayectoria desde inicio sec. en sist.coord.básico
329||Trayectoria desde fin secuen. en sist.coord.básico
330||Tiempo de ejecución actual del avance
331||Tiempo de ejecución bruto actual del avance
332||Máximo tiempo de ejecución del avance
333||Máximo tiempo de ejecución bruto del avance
334||Mínimo tiempo de ejecución del avance
335||Mínimo tiempo de ejecución bruto del avance
336||Estado del programa según $AC_PROG
337||Tiempo ejec. programa - tiempo muerto
338||Tiempo ejecución secuencia
339||Tiempo ejec. programa - tiempo ppal.
340||Despl. PTP cart. soportado
341||Estado de "Modo de dinámica reducida"
342||Modo de simulación
343||Tiempo de ejecución de secuencia en la simulación
344||Incremento de tiempo en la simulación
345||Estado del canal según $AC_STAT
346||Factor de tolerancia G00 activo
347||Memoria libre acciones síncronas de movimiento
348||Estado de una acción síncrona
349||Tiempo de ejecución actual para acciones síncronas
350||Promed. tiempo ejecución p. acciones síncronas
351||Máximo tiempo de ejecución para acciones síncronas
352||Ángulo tangente en punto de fin de secuencia
353||Portaherramientas activo
354||Variable de disparo ACKnowledgeTrigger
355||Variable de disparo: CoMmadTrigger
356||Posición de colisión en el MKS
357||Corrección aditiva activa
358||Corrección aditiva activa para búsqueda
359||Número del filo de herramienta activo
360||Sustituido por actDNumberFanuc32
361||Nº memoria de corrección de radio (dialecto ISO)
362||Equivale a actDNumber para búsqueda con cálculo.
363||Número duplo de la herramienta activa
364||Avance de interpolación, valor real
365||Avance de interpolación ampliado, valor real
366||Limitación avance de contorneado
367||Índice del frame ajustado activo
368||Índice del Grinding Frame ajustado activo
369||Sustituido por actHNumberFanuc32
370||Nº memoria de corrección de longitud (Fanuc)
371||Paso de rosca programado
372||Paso de rosca actual
373||Cambio del paso de rosca actual
374||Tiempo desde inicio secuencia en segundos
375||Tiempo desde inicio secuencia en ciclos interpol.
376||Celda tiempo en segundos
377||Tipo de interpolación activo para desplazamiento
378||Tipo de interpolación activo
379||Modo de lenguaje activo
380||Nº activo del portaherramientas maestro 
381||Nº Multitool con herramienta activa
382||Nº puesto MT con herramienta activa
383||Consigna de orientación de herramienta
384||Consigna de orientación con superposiciones
385||Superposición orientación de herramienta (ángulo).
386||Orientación superpuesta
387||Superposición de la orientación de herramienta
388||Ángulo residual de la orientación de herramienta
389||Orientación final
390||Consigna de giro de la herramienta
391||Consigna de giro con superposiciones
392||Superposición del giro de la herramienta (ángulo).
393||Giro superpuesto de la orientación
394||Superposición del giro de la herramienta
395||Ángulo residual del giro de herramienta
396||Vector de giro final de la secuencia actual
397||Comp. X de la herramienta en el WKS
398||Comp. Y de la herramienta en el WKS
399||Comp. Z de la herramienta en el WKS
400||Correc. total de contorneado p. acciones síncronas
401||Limitación aceleración de trayectoria
402||Número real de piezas
403||Tiempo de ejecución del programa CN seleccionado
404||Número de código de la transformada activa
405||Transformada concatenada activa
